addresses_roadtype_name,addresses_end_street_number,geo_epgs_4326_lon,values_attribute_name,estimated_dates,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,secondary_filters_name,secondary_filters_tree,start_date,addresses_district_name,end_date,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,geo_epgs_4326_lat,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
,,2.1834593112159237,Tel.,,C Antic de Sant Joan,Telèfons,8003,55734069,932681987,BARCELONA,Cocteleries,651,,Ciutat Vella,,431728.52861944516,3,﻿99400596570,,True,1,,,4,1,Bar Eldiset,17502,2018-07-04T14:37:31,4581818.519711634,,2024-09-18T14:04:56.267090,65103002003001,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Cocteleries,41.384997676677536,,231915,"Sant Pere, Santa Caterina i la Ribera",True,20001
,,2.1834593112159237,Tel.,,C Antic de Sant Joan,Telèfons,8003,55734076,932681987,BARCELONA,Xampanyeries,651,,Ciutat Vella,,431728.52861944516,3,﻿99400596570,,True,1,,,4,2,Bar Eldiset,17502,2018-07-04T14:37:31,4581818.519711634,,2024-09-18T14:04:56.267090,65103002003008,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Xampanyeries,41.384997676677536,,231915,"Sant Pere, Santa Caterina i la Ribera",True,20001
,,2.156390006958693,Tel.,,C Provença,Telèfons,8036,55734068,608794392,BARCELONA,Bars i pubs musicals,651,,Eixample,,429471.7544130599,181,﻿75990341591,,True,2,,,8,3,Bar Musical Jazzpetit,268003,1996-09-18T00:00:00,4582510.703494228,,2023-10-03T10:16:08.756484,65103002003000,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Bars i pubs musicals,41.391037249428315,,149641,l'Antiga Esquerra de l'Eixample,True,20001
,,2.162112239199044,Tel.,,C Santes Creus,Telèfons,8031,55734068,655190112,BARCELONA,Bars i pubs musicals,651,,Horta-Guinardó,,429992.05845616525,20,﻿75990210235,,True,7,,,43,4,Bar Musical Samba Brasil *Horta,319206,1996-09-18T00:00:00,4586837.864411428,,2023-10-03T10:40:48.855622,65103002003000,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Bars i pubs musicals,41.43005584388977,,146558,Horta,True,20001
,,2.137027809522119,Tel.,,Pg Sant Antoni,Telèfons,8014,55734068,632414168,BARCELONA,Bars i pubs musicals,651,,Sants-Montjuïc,,427837.7026207502,19,﻿75990079636,,True,3,,,18,5,Disco Bar Joe's,296406,1996-09-18T00:00:00,4580990.168988224,,2023-10-03T10:44:13.003683,65103002003000,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Bars i pubs musicals,41.37719743747399,,141538,Sants,True,20001
,,2.161082480808859,Tel.,,C Còrsega,Telèfons,8037,55734069,932177187,BARCELONA,Cocteleries,651,,Eixample,,429871.2463764982,340,﻿75990210543,,True,2,,,7,6,Cocteleria Stinger,90502,1996-09-18T00:00:00,4583248.847376266,,2023-10-03T10:16:48.959789,65103002003001,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Cocteleries,41.3977203867166,,147332,la Dreta de l'Eixample,True,20001
,,2.161082480808859,Tel.,,C Còrsega,Telèfons,8037,55734076,932177187,BARCELONA,Xampanyeries,651,,Eixample,,429871.2463764982,340,﻿75990210543,,True,2,,,7,7,Cocteleria Stinger,90502,1996-09-18T00:00:00,4583248.847376266,,2023-10-03T10:16:48.959789,65103002003008,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Xampanyeries,41.3977203867166,,147332,la Dreta de l'Eixample,True,20001
,,2.2000735297868075,Tel.,,C Roc Boronat,Telèfons,8005,55734070,933091315,BARCELONA,Discoteques,651,,Sant Martí,,433131.44468717737,33,﻿75990157647,,True,10,,,68,8,Sala Bóveda,181608,1996-09-18T00:00:00,4583298.141555787,,2023-10-03T10:41:43.471437,65103002003002,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Discoteques,41.39844208848969,,145134,el Poblenou,True,20001
,,2.2000735297868075,Tel.,,C Roc Boronat,Telèfons,8005,55734073,933091315,BARCELONA,Sales de festes,651,,Sant Martí,,433131.44468717737,33,﻿75990157647,,True,10,,,68,9,Sala Bóveda,181608,1996-09-18T00:00:00,4583298.141555787,,2023-10-03T10:41:43.471437,65103002003005,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Sales de festes,41.39844208848969,,145134,el Poblenou,True,20001
,,2.1351167772678896,,,C Alcolea,,8014,55734068,,BARCELONA,Bars i pubs musicals,651,,Sants-Montjuïc,,427680.75808488915,100,﻿92086024565,,True,3,,,18,10,Bar Pub K.M.,7407,1987-12-31T00:00:00,4581278.240142884,,2022-09-17T04:34:47.601449,65103002003000,Planol BCN >> Cultura i lleure >> Espais de música i copes >> Bars i pubs musicals,41.3797778944172,,,Sants,,
