Codi_Barri,Nom_Barri,Data_Revisio,Codi_Grup_Activitat,Nom_Grup_Activitat
8,l'Antiga Esquerra de l'Eixample,2021-09-07T00:00:00,2,Quotidià no alimentari
8,l'Antiga Esquerra de l'Eixample,2021-09-07T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-09-07T00:00:00,0,Grup no definit
8,l'Antiga Esquerra de l'Eixample,2021-09-07T00:00:00,0,Grup no definit
8,l'Antiga Esquerra de l'Eixample,2021-09-07T00:00:00,11,Finances i assegurances
8,l'Antiga Esquerra de l'Eixample,2021-09-07T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-09-07T00:00:00,0,Grup no definit
8,l'Antiga Esquerra de l'Eixample,2021-09-07T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,1,Quotidià alimentari
8,l'Antiga Esquerra de l'Eixample,2021-09-07T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-09-08T00:00:00,10,Equipaments culturals i recreatius
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,7,Altres
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,0,Grup no definit
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,4,Equipament personal
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,4,Equipament personal
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,16,Altres
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,1,Quotidià alimentari
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,16,Altres
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,4,Equipament personal
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,5,Oci i cultura
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,5,Oci i cultura
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,1,Quotidià alimentari
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,2,Quotidià no alimentari
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,16,Altres
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,16,Altres
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,0,Grup no definit
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,0,Grup no definit
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,1,Quotidià alimentari
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,2,Quotidià no alimentari
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,4,Equipament personal
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,8,Activitats immobiliàries
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,4,Equipament personal
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,16,Altres
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,0,Grup no definit
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,3,Parament de la llar
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,0,Grup no definit
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,8,Activitats immobiliàries
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,10,Equipaments culturals i recreatius
8,l'Antiga Esquerra de l'Eixample,2021-09-08T00:00:00,15,Sanitat i assistència
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,17,Altres
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,16,Altres
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,16,Altres
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,9,Ensenyament
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,5,Oci i cultura
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
52,la Prosperitat,2022-05-18T00:00:00,9,Ensenyament
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,5,Oci i cultura
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,2,Quotidià no alimentari
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,16,Altres
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,16,Altres
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,2,Quotidià no alimentari
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,4,Equipament personal
8,l'Antiga Esquerra de l'Eixample,2021-09-08T00:00:00,16,Altres
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,0,Grup no definit
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,9,Ensenyament
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,4,Equipament personal
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,4,Equipament personal
8,l'Antiga Esquerra de l'Eixample,2021-10-26T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
8,l'Antiga Esquerra de l'Eixample,2021-10-25T00:00:00,17,Altres
8,l'Antiga Esquerra de l'Eixample,2021-09-08T00:00:00,17,Altres
25,Sant Gervasi - la Bonanova,2021-05-10T00:00:00,4,Equipament personal
25,Sant Gervasi - la Bonanova,2021-05-10T00:00:00,8,Activitats immobiliàries
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,1,Quotidià alimentari
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,16,Altres
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,4,Equipament personal
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,4,Equipament personal
52,la Prosperitat,2022-05-20T00:00:00,0,Grup no definit
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,5,Oci i cultura
25,Sant Gervasi - la Bonanova,2021-05-10T00:00:00,9,Ensenyament
25,Sant Gervasi - la Bonanova,2021-05-10T00:00:00,16,Altres
25,Sant Gervasi - la Bonanova,2021-05-10T00:00:00,16,Altres
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,15,Sanitat i assistència
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,4,Equipament personal
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,4,Equipament personal
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,2,Quotidià no alimentari
25,Sant Gervasi - la Bonanova,2021-05-10T00:00:00,0,Grup no definit
25,Sant Gervasi - la Bonanova,2021-05-10T00:00:00,16,Altres
25,Sant Gervasi - la Bonanova,2021-05-10T00:00:00,12,"Manteniment, neteja i producció"
52,la Prosperitat,2022-05-19T00:00:00,16,Altres
25,Sant Gervasi - la Bonanova,2021-05-10T00:00:00,16,Altres
25,Sant Gervasi - la Bonanova,2021-05-10T00:00:00,17,Altres
25,Sant Gervasi - la Bonanova,2021-05-10T00:00:00,15,Sanitat i assistència
25,Sant Gervasi - la Bonanova,2021-05-10T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
25,Sant Gervasi - la Bonanova,2021-05-10T00:00:00,16,Altres
25,Sant Gervasi - la Bonanova,2021-05-10T00:00:00,0,Grup no definit
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,2,Quotidià no alimentari
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,3,Parament de la llar
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,17,Altres
25,Sant Gervasi - la Bonanova,2021-05-10T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,15,Sanitat i assistència
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,0,Grup no definit
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,13,Reparacions (Electrodomèstics i automòbils)
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,5,Oci i cultura
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,16,Altres
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,6,Automoció
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,1,Quotidià alimentari
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,16,Altres
17,Sants - Badal,2021-11-11T00:00:00,16,Altres
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,4,Equipament personal
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,17,Altres
25,Sant Gervasi - la Bonanova,2021-05-10T00:00:00,16,Altres
25,Sant Gervasi - la Bonanova,2021-05-05T00:00:00,15,Sanitat i assistència
52,la Prosperitat,2022-05-19T00:00:00,9,Ensenyament
52,la Prosperitat,2022-05-20T00:00:00,1,Quotidià alimentari
52,la Prosperitat,2022-05-19T00:00:00,15,Sanitat i assistència
52,la Prosperitat,2022-05-19T00:00:00,0,Grup no definit
52,la Prosperitat,2022-05-19T00:00:00,0,Grup no definit
52,la Prosperitat,2022-05-19T00:00:00,0,Grup no definit
52,la Prosperitat,2022-05-20T00:00:00,16,Altres
52,la Prosperitat,2022-05-20T00:00:00,0,Grup no definit
52,la Prosperitat,2022-05-20T00:00:00,16,Altres
52,la Prosperitat,2022-05-20T00:00:00,16,Altres
52,la Prosperitat,2022-05-20T00:00:00,16,Altres
52,la Prosperitat,2022-05-20T00:00:00,0,Grup no definit
52,la Prosperitat,2022-05-20T00:00:00,16,Altres
52,la Prosperitat,2022-05-20T00:00:00,0,Grup no definit
52,la Prosperitat,2022-05-20T00:00:00,0,Grup no definit
52,la Prosperitat,2022-05-20T00:00:00,0,Grup no definit
52,la Prosperitat,2022-05-20T00:00:00,16,Altres
52,la Prosperitat,2022-05-20T00:00:00,0,Grup no definit
20,la Maternitat i Sant Ramon,2019-07-30T00:00:00,16,Altres
17,Sants - Badal,2021-11-12T00:00:00,0,Grup no definit
17,Sants - Badal,2021-04-20T00:00:00,4,Equipament personal
17,Sants - Badal,2021-04-20T00:00:00,1,Quotidià alimentari
17,Sants - Badal,2021-04-20T00:00:00,0,Grup no definit
17,Sants - Badal,2021-04-20T00:00:00,8,Activitats immobiliàries
17,Sants - Badal,2021-11-12T00:00:00,5,Oci i cultura
17,Sants - Badal,2021-11-12T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
20,la Maternitat i Sant Ramon,2022-07-20T00:00:00,16,Altres
17,Sants - Badal,2021-11-12T00:00:00,16,Altres
17,Sants - Badal,2021-04-20T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
20,la Maternitat i Sant Ramon,2022-07-20T00:00:00,11,Finances i assegurances
7,la Dreta de l'Eixample,2021-02-23T00:00:00,9,Ensenyament
20,la Maternitat i Sant Ramon,2022-07-20T00:00:00,2,Quotidià no alimentari
20,la Maternitat i Sant Ramon,2022-07-21T00:00:00,0,Grup no definit
20,la Maternitat i Sant Ramon,2022-07-21T00:00:00,3,Parament de la llar
20,la Maternitat i Sant Ramon,2022-07-20T00:00:00,16,Altres
20,la Maternitat i Sant Ramon,2022-07-21T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
20,la Maternitat i Sant Ramon,2022-07-21T00:00:00,16,Altres
20,la Maternitat i Sant Ramon,2022-07-20T00:00:00,1,Quotidià alimentari
20,la Maternitat i Sant Ramon,2022-07-20T00:00:00,16,Altres
20,la Maternitat i Sant Ramon,2022-07-21T00:00:00,0,Grup no definit
20,la Maternitat i Sant Ramon,2022-07-20T00:00:00,9,Ensenyament
20,la Maternitat i Sant Ramon,2022-07-20T00:00:00,16,Altres
20,la Maternitat i Sant Ramon,2022-07-21T00:00:00,0,Grup no definit
20,la Maternitat i Sant Ramon,2022-07-21T00:00:00,1,Quotidià alimentari
20,la Maternitat i Sant Ramon,2022-07-20T00:00:00,16,Altres
17,Sants - Badal,2021-04-20T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
20,la Maternitat i Sant Ramon,2022-07-21T00:00:00,0,Grup no definit
20,la Maternitat i Sant Ramon,2022-07-21T00:00:00,0,Grup no definit
20,la Maternitat i Sant Ramon,2022-07-21T00:00:00,2,Quotidià no alimentari
20,la Maternitat i Sant Ramon,2022-07-20T00:00:00,0,Grup no definit
20,la Maternitat i Sant Ramon,2022-07-21T00:00:00,17,Altres
20,la Maternitat i Sant Ramon,2022-07-20T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
20,la Maternitat i Sant Ramon,2022-07-21T00:00:00,1,Quotidià alimentari
17,Sants - Badal,2021-04-20T00:00:00,0,Grup no definit
17,Sants - Badal,2021-04-20T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
20,la Maternitat i Sant Ramon,2022-07-20T00:00:00,8,Activitats immobiliàries
40,Montbau,2022-08-08T00:00:00,9,Ensenyament
20,la Maternitat i Sant Ramon,2022-07-21T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
17,Sants - Badal,2021-04-20T00:00:00,16,Altres
20,la Maternitat i Sant Ramon,2022-07-20T00:00:00,3,Parament de la llar
20,la Maternitat i Sant Ramon,2022-07-21T00:00:00,17,Altres
20,la Maternitat i Sant Ramon,2022-07-20T00:00:00,16,Altres
20,la Maternitat i Sant Ramon,2022-07-21T00:00:00,17,Altres
20,la Maternitat i Sant Ramon,2022-07-20T00:00:00,3,Parament de la llar
17,Sants - Badal,2021-04-20T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
17,Sants - Badal,2021-04-20T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
4,"Sant Pere, Santa Caterina i la Ribera",2022-03-02T00:00:00,17,Altres
4,"Sant Pere, Santa Caterina i la Ribera",2022-03-02T00:00:00,0,Grup no definit
4,"Sant Pere, Santa Caterina i la Ribera",2022-03-02T00:00:00,17,Altres
40,Montbau,2022-08-05T00:00:00,8,Activitats immobiliàries
40,Montbau,2022-08-05T00:00:00,15,Sanitat i assistència
40,Montbau,2022-08-05T00:00:00,2,Quotidià no alimentari
40,Montbau,2022-08-08T00:00:00,3,Parament de la llar
40,Montbau,2022-08-08T00:00:00,12,"Manteniment, neteja i producció"
40,Montbau,2022-08-08T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
40,Montbau,2022-08-08T00:00:00,15,Sanitat i assistència
40,Montbau,2022-08-08T00:00:00,9,Ensenyament
40,Montbau,2022-08-08T00:00:00,9,Ensenyament
40,Montbau,2022-08-08T00:00:00,0,Grup no definit
40,Montbau,2022-08-08T00:00:00,0,Grup no definit
40,Montbau,2022-08-05T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
40,Montbau,2022-08-08T00:00:00,0,Grup no definit
40,Montbau,2022-08-08T00:00:00,9,Ensenyament
40,Montbau,2022-08-08T00:00:00,1,Quotidià alimentari
40,Montbau,2022-08-05T00:00:00,16,Altres
40,Montbau,2022-08-08T00:00:00,0,Grup no definit
40,Montbau,2022-08-08T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
40,Montbau,2022-08-04T00:00:00,17,Altres
44,Vilapicina i la Torre Llobeta,2021-08-03T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
44,Vilapicina i la Torre Llobeta,2021-08-03T00:00:00,9,Ensenyament
62,el Congrés i els Indians,2022-04-20T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
19,les Corts,2021-04-14T00:00:00,16,Altres
44,Vilapicina i la Torre Llobeta,2021-08-03T00:00:00,3,Parament de la llar
44,Vilapicina i la Torre Llobeta,2021-08-03T00:00:00,16,Altres
44,Vilapicina i la Torre Llobeta,2021-08-03T00:00:00,1,Quotidià alimentari
44,Vilapicina i la Torre Llobeta,2021-08-03T00:00:00,0,Grup no definit
44,Vilapicina i la Torre Llobeta,2021-08-03T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
44,Vilapicina i la Torre Llobeta,2021-08-03T00:00:00,17,Altres
44,Vilapicina i la Torre Llobeta,2021-08-03T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
44,Vilapicina i la Torre Llobeta,2021-08-03T00:00:00,16,Altres
44,Vilapicina i la Torre Llobeta,2021-08-03T00:00:00,17,Altres
44,Vilapicina i la Torre Llobeta,2021-08-03T00:00:00,1,Quotidià alimentari
45,Porta,2021-07-13T00:00:00,16,Altres
45,Porta,2021-07-13T00:00:00,4,Equipament personal
45,Porta,2021-07-13T00:00:00,7,Altres
45,Porta,2021-07-13T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
45,Porta,2021-07-13T00:00:00,17,Altres
45,Porta,2021-07-13T00:00:00,7,Altres
45,Porta,2021-07-13T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
45,Porta,2021-07-13T00:00:00,16,Altres
45,Porta,2021-07-13T00:00:00,2,Quotidià no alimentari
45,Porta,2021-07-13T00:00:00,8,Activitats immobiliàries
45,Porta,2021-07-13T00:00:00,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)"
45,Porta,2021-07-13T00:00:00,1,Quotidià alimentari
45,Porta,2021-07-13T00:00:00,4,Equipament personal
45,Porta,2021-07-13T00:00:00,16,Altres
45,Porta,2021-07-13T00:00:00,1,Quotidià alimentari
45,Porta,2021-07-13T00:00:00,16,Altres
45,Porta,2021-07-13T00:00:00,1,Quotidià alimentari
45,Porta,2021-07-13T00:00:00,17,Altres
45,Porta,2021-07-13T00:00:00,1,Quotidià alimentari
45,Porta,2021-07-13T00:00:00,9,Ensenyament
45,Porta,2021-07-13T00:00:00,16,Altres
45,Porta,2021-07-13T00:00:00,16,Altres
45,Porta,2021-07-13T00:00:00,17,Altres
45,Porta,2021-07-13T00:00:00,16,Altres
45,Porta,2021-07-13T00:00:00,4,Equipament personal
45,Porta,2021-07-13T00:00:00,17,Altres
45,Porta,2021-07-13T00:00:00,0,Grup no definit
45,Porta,2021-07-13T00:00:00,1,Quotidià alimentari
45,Porta,2021-07-13T00:00:00,11,Finances i assegurances
