addresses_roadtype_name,addresses_end_street_number,geo_epgs_4326_lon,values_attribute_name,addresses_road_name,values_category,addresses_zip_code,values_value,addresses_town,addresses_district_name,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,geo_epgs_4326_lat,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
,,2.1250093275396296,,C Cardenal Sentmenat,,8017,,BARCELONA,Sarrià-Sant Gervasi,426856.3456517937,43,﻿99400477553,,True,5,,,23,1,L'Estació dels FGC de Sarrià,65301,2017-02-09T12:05:55,4583342.030828641,,2021-09-09T02:16:39.681851,41.39829106263617,,,Sarrià,,
,,2.150211222762335,E-mail,Avinguda de la Reina Maria Cristina,Informació d'interès,8004,infofira@firabarcelona.com,Barcelona,Sants-Montjuïc,428935.2430560284,2,﻿75990334751,,True,3,,,11,2,Fira Barcelona,278200,1996-09-18T00:00:00,4580481.976181729,,2024-03-07T14:26:07.265725,41.3727179943061,,37371,el Poble-sec,True,100002
,,2.136897693555585,E-mail,Carrer de Sants,Informació d'interès,8014,cotxeres-casinet@secretariat.cat,Barcelona,Sants-Montjuïc,427824.72279217,79,﻿92086002380,,True,3,,,18,3,Centre Cívic Cotxeres de Sants,312400,1984-05-30T00:00:00,4580779.459042303,,2024-07-23T10:39:13.417344,41.37529848802474,,39646,Sants,True,100002
,,2.1592603871633953,,C Martínez de la Rosa,,8012,,BARCELONA,Gràcia,429721.02379080554,27,﻿99400477361,,True,6,,,31,4,Edifici Puiggròs,201501,2017-02-07T14:01:16,4583466.260224394,,2021-09-09T02:16:06.194016,41.39966543105189,,,la Vila de Gràcia,,
,,2.1353909998606846,Web,C Josep Garí,Informació d'interès,8035,https://link.bcn.cat/cPTM,BARCELONA,Sarrià-Sant Gervasi,427743.56461634726,7,﻿99400328900,,True,5,,,25,5,Parc Torrent Maduixer,170000,2013-10-25T12:21:13,4585273.777182398,,2024-11-21T15:01:42.917770,41.415769691707396,,93847,Sant Gervasi - la Bonanova,True,100003
,,2.1115767347502405,,Av Pearson,,8034,,BARCELONA,Les Corts,425728.94770070154,2,﻿99335103526,,True,4,,,21,6,Jardins Creu de Pedralbes,248108,1999-12-01T00:00:00,4582913.911759086,,2024-11-21T15:01:44.862884,41.39433185278547,,,Pedralbes,,
,,2.1556884231723643,E-mail,C Sol,Informació d'interès,8012,ferrancolaspeiro@hotmail.com,BARCELONA,Gràcia,429424.96161244635,8,﻿99400014322,,True,6,,,31,7,Oratori de Sant Felip Neri *Gràcia,326802,2002-07-31T17:41:18,4583728.515604841,,2022-09-17T05:58:19.363864,41.40200153642768,,48052,la Vila de Gràcia,True,100002
,,2.135308972460361,E-mail,Carrer de Muntaner,Informació d'interès,8022,ccvilaflorida@qsl.cat,Barcelona,Sarrià-Sant Gervasi,427725.1780428968,544,﻿99400179909,,True,5,,,25,8,Centre Cívic Vil·la Florida,223606,2007-03-27T09:49:55,4584118.764439972,,2024-06-04T13:03:15.029752,41.405365338998074,,52158,Sant Gervasi - la Bonanova,True,100002
,,2.1786306362721026,,C Palma de Sant Just,,8002,,BARCELONA,Ciutat Vella,431322.071628649,8,﻿99400476737,,True,1,,,2,41,Casa Sarriera,242203,2017-01-27T13:17:27,4581534.8273979435,,2021-09-09T02:15:50.212536,41.382407945809554,,,el Barri Gòtic,,
,,2.1997573736435094,Web,Av Diagonal,Informació d'interès,8018,https://link.bcn.cat/cPdCdP,BARCELONA,Sant Martí,433113.5806764498,130,﻿99400201005,,True,10,,,71,9,Parc del Centre del Poblenou,144601,2008-02-26T14:55:46,4584225.555507102,,2024-11-21T15:01:43.561392,41.40679356695045,,88560,Provençals del Poblenou,True,100003
