addresses_roadtype_name,addresses_end_street_number,geo_epgs_4326_lon,values_attribute_name,estimated_dates,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,secondary_filters_name,secondary_filters_tree,start_date,addresses_district_name,end_date,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,geo_epgs_4326_lat,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
,,2.173029237931847,Tel.,,C Casp,Telèfons,8010,54733068,935518500,BARCELONA,Apartaments,651,,Eixample,,430863.09088806866,35,﻿99400609073,,True,2,,,7,1,Apartament Turístic Midtown Apartments- ATB-000086,71600,2018-09-21T11:57:04,4582522.018671178,,2022-09-17T10:54:35.230190,65103001002000,Planol BCN >> Allotjament >> Altres allotjaments >> Apartaments,41.39125996292628,,232503,la Dreta de l'Eixample,True,20001
,,2.17461994764166,Tel.,,C Sicília,Telèfons,8013,54733068,934765575,BARCELONA,Apartaments,651,,Eixample,,431006.26727751625,276,﻿99400609076,,True,2,,,6,2,Apartament Turístic Hostemplo - ATB-000089,325005,2018-09-21T12:02:48,4583590.159280568,,2022-09-17T10:54:36.060760,65103001002000,Planol BCN >> Allotjament >> Altres allotjaments >> Apartaments,41.40089265936167,,232504,la Sagrada Família,True,20001
,,2.142690522392808,Centraleta,,Via Augusta,Telèfons,8021,54733068,932011405,BARCELONA,Apartaments,651,,Sarrià-Sant Gervasi,,428334.61228653113,167,﻿92086002799,,True,5,,,26,3,Apartament Turístic Senator - ATB-000009,28000,1984-05-30T00:00:00,4583349.184075388,,2022-09-17T03:52:06.314436,65103001002000,Planol BCN >> Allotjament >> Altres allotjaments >> Apartaments,41.39848859845516,,160271,Sant Gervasi - Galvany,True,20003
,,2.1694641764770926,Tel.,,C Hospital,Telèfons,8001,54733071,93 443 27 59,BARCELONA,Residències d'estudiants,651,,Ciutat Vella,,430553.3181506627,64,﻿98316124813,,True,1,,,1,4,Residència per a Investigadors CSIC - Generalitat,157909,1998-11-12T00:00:00,4581301.83451492,,2024-05-21T14:30:54.551568,65103001002003,Planol BCN >> Allotjament >> Altres allotjaments >> Residències d'estudiants,41.38024346069986,,201754,el Raval,True,20001
,,2.170719532802505,Tel.,,C Hospital,Telèfons,8001,54733069,934124069,BARCELONA,Albergs juvenils,651,,Ciutat Vella,,430658.58012113284,63,﻿99400011042,,True,1,,,1,5,Alberg Center Rambles - AJ000398,157909,2002-07-06T10:38:49,4581331.372248229,,2023-10-03T10:02:31.576985,65103001002001,Planol BCN >> Allotjament >> Altres allotjaments >> Albergs juvenils,41.3805185765298,,204713,el Raval,True,20001
,,2.1298247651935123,Tel.,,Alt de Gironella,Telèfons,8017,54733071,932035459,BARCELONA,Residències d'estudiants,651,,Sarrià-Sant Gervasi,,427254.9088656726,7,﻿99110181021,,True,5,,,24,6,Missioneres Germanes de Betània,11903,1999-04-20T00:00:00,4582941.63882034,,2022-09-17T05:50:56.016478,65103001002003,Planol BCN >> Allotjament >> Altres allotjaments >> Residències d'estudiants,41.394721057495595,,202208,les Tres Torres,True,20001
,,2.162634129795992,Tel.,,C Còrsega,Telèfons,8037,54733069,932200377,BARCELONA,Albergs juvenils,651,,Gràcia,,430002.52506737295,373,﻿99400315102,,True,6,,,31,13,Alberg Generator Barcelona - AJ000556,90502,2013-04-09T11:57:41,4583409.8678328255,,2022-09-17T07:53:31.876278,65103001002001,Planol BCN >> Allotjament >> Altres allotjaments >> Albergs juvenils,41.39918207998625,,225476,la Vila de Gràcia,True,20001
,,2.14686630713938,Tel.,,Pg Mare de Déu del Coll,Telèfons,8023,54733069,932105151,BARCELONA,Albergs juvenils,651,,Gràcia,,428703.0382911407,41,﻿92086012294,,True,6,,,28,7,Casa Marsans - Alberg Mare de Déu de Montserrat - AJ000084,230000,1988-02-15T00:00:00,4585310.873024361,,2022-09-23T14:50:17.987863,65103001002001,Planol BCN >> Allotjament >> Altres allotjaments >> Albergs juvenils,41.41618949683218,Recepció,163424,Vallcarca i els Penitents,True,20001
,,2.17283960547143,Tel.,,C Sardenya,Telèfons,8025,54733071,934367739,BARCELONA,Residències d'estudiants,651,,Eixample,,430860.6806221688,326,﻿98245122440,,True,2,,,6,8,Barcelona Residencias,76807,1998-09-02T00:00:00,4583930.270933719,,2022-09-17T05:42:29.501709,65103001002003,Planol BCN >> Allotjament >> Altres allotjaments >> Residències d'estudiants,41.403943425731946,,201220,la Sagrada Família,True,20001
,,2.165660508871563,Tel.,,C Poeta Cabanyes,Telèfons,8004,54733069,934425164,BARCELONA,Albergs juvenils,651,,Sants-Montjuïc,,430228.7154471907,23,﻿99400194324,,True,3,,,11,9,Alberg Juvenil Mambo Tango - AJ000486,261004,2007-11-02T11:50:24,4580624.504059756,,2022-09-17T06:53:33.196783,65103001002001,Planol BCN >> Allotjament >> Altres allotjaments >> Albergs juvenils,41.37411487282165,,219423,el Poble-sec,True,20001
,,2.11765312295715,Tel.,,C Pau Gargallo,Telèfons,8028,54733071,931440140,BARCELONA,Residències d'estudiants,651,,Les Corts,,426225.3301278867,30,﻿99400631747,,True,4,,,20,10,Residència Universitària Aleu,247750,2019-07-10T12:22:44,4581769.4380345065,,2022-09-17T11:05:25.407616,65103001002003,Planol BCN >> Allotjament >> Altres allotjaments >> Residències d'estudiants,41.38406977296698,,233362,la Maternitat i Sant Ramon,True,20001
,,2.1797154727699763,Tel.,,C Vigatans,Telèfons,8003,54733069,932687808,BARCELONA,Albergs juvenils,651,,Ciutat Vella,,431414.634688965,5,﻿99400056855,,True,1,,,4,11,Alberg Safestay  Gothic - AJ000442,360709,2003-08-08T09:06:38,4581729.927512673,,2022-09-17T06:04:18.018336,65103001002001,Planol BCN >> Allotjament >> Altres allotjaments >> Albergs juvenils,41.38417305255416,,207273,"Sant Pere, Santa Caterina i la Ribera",True,20001
,,2.138456656431635,Tel.,,C Entença,Telèfons,8029,54733071,933631290,BARCELONA,Residències d'estudiants,651,,Les Corts,,427970.58604029653,309,﻿99400082592,,True,4,,,19,12,Residència Universitària Josep Manyanet,110803,2004-04-26T23:30:02,4582336.987872695,,2023-10-03T10:37:18.152990,65103001002003,Planol BCN >> Allotjament >> Altres allotjaments >> Residències d'estudiants,41.389339625392076,,211256,les Corts,True,20001
,,2.1691475954512134,Tel.,,C Lafont,Telèfons,8004,54733069,934428392,BARCELONA,Albergs juvenils,651,,Sants-Montjuïc,,430519.771629211,8,﻿99400194313,,True,3,,,11,14,Hello Bcn Hostel - AJ000512,175809,2007-11-02T11:00:53,4580564.055709835,,2022-09-17T06:53:31.626194,65103001002001,Planol BCN >> Allotjament >> Altres allotjaments >> Albergs juvenils,41.373595613321704,,219421,el Poble-sec,True,20001
